Time,Lon,Lat,Mag,Depth,Description
2011-03-11T19:46:35.300000Z,142.2,38.8,6.5,33000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T19:46:50.050000Z,139.1538,40.4044,6.2,11200.0,"NEAR WEST COAST OF HONSHU, JAPAN"
2011-03-11T20:11:23.520000Z,142.7772,39.0114,6.1,14700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-12T01:47:16.160000Z,142.7512,37.5898,6.5,24800.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-12T13:15:41.150000Z,141.297,37.2373,6.2,33800.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-13T01:26:06.730000Z,141.7398,35.7263,6.2,24000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-14T06:12:36.680000Z,142.5003,37.7805,6.0,18800.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-15T13:27:56.710000Z,142.3382,37.5873,6.1,30900.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-15T13:31:47.450000Z,138.7209,35.3092,6.0,14900.0,"EASTERN HONSHU, JAPAN"
2011-03-15T15:23:54.620000Z,143.3831,40.3505,6.0,22900.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-17T02:48:01.880000Z,167.7566,-17.2434,6.2,27500.0,VANUATU ISLANDS
2011-03-17T04:13:57.610000Z,142.3748,40.1677,6.1,37700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-20T08:26:11.110000Z,121.3065,19.0747,6.0,39900.0,PHILIPPINE ISLANDS REGION
2011-03-22T07:18:46.480000Z,144.0526,37.216,6.4,16400.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-22T09:19:05.330000Z,141.7926,37.3717,6.2,28400.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-22T09:44:29.970000Z,143.5386,39.8638,6.3,19200.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-25T11:36:24.320000Z,141.9932,38.7487,6.2,39000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-26T22:49:43.300000Z,-179.2249,-15.9229,6.0,22000.0,FIJI ISLANDS REGION
2011-03-27T22:23:58.720000Z,142.2157,38.3796,6.2,19800.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-29T10:54:34.020000Z,142.3471,37.4403,6.2,19800.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-31T00:11:58.880000Z,-177.3915,-16.5479,6.4,19400.0,FIJI ISLANDS REGION
2011-03-31T07:15:29.720000Z,142.024,38.9178,6.0,41700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-04-03T14:07:08.980000Z,-178.5336,-17.6066,6.4,547200.0,FIJI ISLANDS REGION
2011-04-03T20:06:43.260000Z,107.7693,-9.7342,6.7,31900.0,"SOUTH OF JAVA, INDONESIA"
2011-04-07T13:11:23.430000Z,-94.1439,17.2651,6.7,165100.0,"CHIAPAS, MEXICO"
2011-04-07T14:32:44.100000Z,141.7296,38.2513,7.1,53200.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-04-09T12:57:50.050000Z,131.8467,30.0156,6.0,26200.0,"KYUSHU, JAPAN"
2011-04-11T08:16:12.690000Z,140.5842,36.9529,6.7,13300.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-04-11T23:08:17.090000Z,140.7033,35.4387,6.2,16700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-04-13T19:57:23.840000Z,143.5608,39.5855,6.0,16200.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-04-18T13:03:04.360000Z,179.9433,-34.286,6.5,98100.0,SOUTH OF KERMADEC ISLANDS
2011-04-21T13:37:03.080000Z,140.5521,35.6424,6.2,43400.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-04-23T04:16:55.310000Z,161.2473,-10.3584,6.8,85600.0,SOLOMON ISLANDS
2011-04-23T10:12:46.930000Z,142.9387,39.1697,6.0,31700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-04-24T23:07:54.700000Z,122.8642,-4.4806,6.1,28300.0,"SULAWESI, INDONESIA"
2011-04-30T08:19:16.720000Z,-82.3594,6.8511,6.2,10000.0,SOUTH OF PANAMA
2011-05-05T14:58:19.780000Z,144.1542,38.2011,6.1,19700.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-05-10T08:55:12.500000Z,168.2754,-20.3347,6.8,33400.0,LOYALTY ISLANDS
2011-05-13T22:47:55.340000Z,-84.1889,10.1114,6.0,76800.0,COSTA RICA
