Time,Lon,Lat,Deg,Depth,Mag
2013-08-01T20:01:42.990000Z,-173.4982,-15.2651,138.74067402626693,29.0,6.0
2013-08-12T00:53:44.440000Z,129.7914,-7.1167,91.66254827710345,104.8,6.1
2013-08-12T04:16:47.810000Z,-179.6421,-30.6243,143.67651649809073,341.4,6.2
2013-08-12T09:49:31.920000Z,-81.979,-5.4117,120.10271504855868,12.8,6.2
2013-08-13T15:43:15.910000Z,-78.1251,5.718,109.43331149032586,18.6,6.6
2013-08-16T02:31:09.200000Z,174.0796,-41.7685,143.2129397156316,13.8,6.5
2013-08-21T12:38:29.510000Z,-99.5188,16.8572,112.96401107855905,18.9,6.2
2013-08-28T02:54:41.470000Z,179.7461,-27.7888,141.77826004603685,485.1,6.2
2013-09-01T11:52:32.120000Z,128.2569,-7.5393,90.79312299687707,135.2,6.5
2013-09-03T20:19:06.670000Z,-130.4234,51.0979,87.88421367772536,2.5,6.1
2013-09-04T00:23:10.920000Z,-130.2671,51.1711,87.80363836068301,10.0,6.0
2013-09-07T00:13:29.910000Z,-92.0911,14.6678,111.05700896813222,74.1,6.4
2013-09-11T12:44:14.520000Z,-104.8068,-4.591,133.99497515444645,13.0,6.0
2013-09-25T16:42:43.180000Z,-74.6012,-15.9001,121.67154309114046,38.2,7.0
2013-09-30T05:55:54.870000Z,-178.2538,-30.8752,144.84427163888114,37.8,6.4
2013-10-04T17:26:14.250000Z,78.5007,-38.707,85.57550397995735,11.0,6.4
2013-10-06T16:38:10.390000Z,141.7102,12.2738,87.89721756652087,118.4,6.0
2013-10-06T21:33:19.710000Z,-97.6029,-36.6341,149.8711463281538,12.0,6.2
2013-10-11T21:24:59.360000Z,-178.4264,-30.729,144.64383091756565,152.9,6.2
2013-10-12T02:10:28.910000Z,-62.3025,10.8358,94.79449353592392,82.1,6.0
2013-10-16T10:31:00.990000Z,154.9648,-6.4787,110.18948670412048,58.0,6.8
2013-10-19T17:54:57.220000Z,-110.3639,25.9612,108.96647231885403,15.0,6.6
2013-10-23T08:23:29.510000Z,-177.0404,-22.9722,141.4075267484108,157.7,6.0
2013-10-24T19:25:10.300000Z,-12.8022,-58.2594,109.68221136218997,10.0,6.6
2013-10-29T10:37:56.300000Z,154.8294,-61.7154,134.85463620624802,10.0,6.0
2013-10-30T02:51:49.440000Z,-73.1515,-35.4018,131.1926616295137,11.9,6.3
2013-10-31T23:03:58.620000Z,-71.5019,-30.3139,127.54070935000112,19.8,6.5
2013-11-02T18:53:47.930000Z,-172.6354,-19.3532,142.1934718321172,19.3,6.2
2013-11-13T23:45:48.200000Z,-47.2872,-60.3091,125.14733139062066,10.0,6.0
2013-11-16T03:34:34.790000Z,-47.199,-60.3079,125.10634880419941,24.0,6.9
2013-11-17T09:04:56.260000Z,-46.5876,-60.3783,124.8534276652585,7.9,7.8
2013-11-19T17:00:45.010000Z,145.165,18.4629,86.26455220387385,531.1,6.0
2013-11-23T07:48:32.020000Z,-176.5188,-17.1613,138.00907740179753,370.1,6.5
2013-11-25T06:27:34.680000Z,-54.9648,-53.9716,126.66794183258723,10.0,6.9
2013-12-01T01:24:15.720000Z,128.4151,-7.0288,90.576154945813,25.9,6.5
2013-12-17T23:38:08.860000Z,146.7654,20.736,85.85432478186812,22.7,6.2
2014-01-01T16:03:29.770000Z,167.2723,-13.8767,124.1594573024823,194.8,6.5
2014-01-13T04:01:04.530000Z,-66.8685,18.9922,92.29489447390186,30.9,6.3
2014-01-20T02:52:45.560000Z,175.7893,-40.6371,144.13187465563524,32.9,6.3
2014-01-21T01:29:11.890000Z,-175.0125,-15.2955,137.7444041623375,10.0,6.2
