Time,Lon,Lat,Dep,Mag
20101213_011442,155.6959,-6.5265,144.8,6.2
20101229_065422,168.1477,-19.7784,34.9,6.3
20110109_100343,168.3791,-19.2745,20.7,6.5
20110715_132602,-23.6628,-60.9862,8.6,6.1
20110902_134710,-63.136,-28.4135,592.7,6.7
20111018_050506,151.1049,-5.7682,29.8,6.0
20120122_055343,-25.2293,-56.9317,18.7,6.0
20120214_081957,161.1898,-10.371,69.3,6.4
20121111_221459,-92.3318,14.0705,18.6,6.4
20101215_112930,128.7939,-7.2664,140.4,6.0
20121210_165309,129.8684,-6.4969,161.5,7.1
20121107_163549,-92.0669,14.0318,38.7,7.4
20110207_195342,155.3183,-7.0927,414.8,6.5
20110212_175756,-175.5845,-20.8515,85.9,6.1
20110306_123158,-69.5006,-18.2064,114.5,6.3
20110306_143236,-27.0253,-56.3864,92.0,6.5
20110306_143242,-26.68,-56.41,101.2,6.5
20110515_183710,154.4323,-6.066,46.9,6.5
20120402_173642,-98.4615,16.3729,16.3,6.1
20161124_184348,-88.8355,11.9597,10.34,7.0
20150330_081801,-172.905,-15.4394,15.2,6.3
20170305_224753,149.3619,-5.9945,37.0,6.3
20120604_004516,-82.6322,5.2944,15.0,6.3
20120802_093831,-74.2726,-8.454,148.8,6.0
20130726_213300,-24.28,-58.0352,17.0,6.3
20130801_200142,-173.4982,-15.2651,29.0,6.0
20130907_001329,-92.0911,14.6678,74.1,6.4
20131102_185347,-172.6354,-19.3532,19.3,6.2
20140302_093754,-87.704,12.5888,70.4,6.2
20140322_125957,-70.9441,-19.8225,4.4,6.2
20140327_034944,166.6228,-12.1378,109.7,6.0
20140704_150027,152.8075,-6.2304,20.0,6.4
20140721_145441,-178.4001,-19.8015,615.4,6.9
20120930_163134,-76.3716,1.9079,155.2,7.2
20160917_012017,140.5718,-2.0829,9.0,6.0
20140507_042039,154.9469,-7.0145,41.0,6.0
20160518_075702,-79.7899,0.4261,16.0,6.7
20200721_205625,-178.6325,-20.8045,605.2,6.0
20180728_170723,122.7474,-7.1221,577.48,6.0
20120205_001540,168.9728,-18.9862,158.8,6.1
20120314_211310,151.0915,-5.5834,46.6,6.2
20120321_221505,146.0083,-6.2233,117.7,6.6
20121009_123208,153.9333,-60.6414,12.1,6.6
20121110_145750,-75.0884,-8.9367,128.6,6.0
20130423_231443,152.2033,-3.8359,24.4,6.5
20140420_001559,155.367,-7.0867,32.5,6.2
20140629_143249,-28.224,-55.4186,11.9,6.0
20140925_091352,156.3501,-9.4478,19.7,6.1
20150501_080605,151.7512,-5.1981,63.6,6.7
20131113_234548,-47.2872,-60.3091,10.0,6.0
20121012_003131,134.0822,-4.8858,34.6,6.6
20170923_125302,-94.9509,16.7732,9.62,6.1
20140806_114528,127.92,-7.13,19.5,6.2
20170622_123104,-90.9488,13.7527,46.82,6.8
20171127_071111,153.2342,-4.5778,52.0,6.0
20180930_105224,-178.0788,-18.3465,564.13,6.7
20151204_222500,85.0913,-47.6165,35.0,7.1
20180216_233939,-97.9789,16.3887,25.98,7.2
20140708_125625,168.3982,-17.6864,110.2,6.2
20160725_193845,148.0345,-2.969,14.0,6.4
