Station,Event,plon,plat,phi,dt
DMNI,20150211_185720,43.95,41.31,42.02,1.0
TKBL,20110620_163600,42.74,42.34,30.15,1.6
TKBL,20110830_065741,43.42,42.3,64.73,1.2
TKBL,20110824_174611,42.73,42.4,66.0,0.9
TKBL,20110824_174611,42.73,42.4,60.66,0.9
TKBL,20111028_185434,42.75,42.38,71.0,0.6
TRLT,20111122_184816,43.83,41.54,25.0,1.2
TRLT,20111114_040512,44.57,41.5,30.36,1.0
URAV,20110620_163600,43.04,42.63,43.0,0.8
GANJ,20110830_065741,46.76,40.59,-24.09,0.8
GANJ,20111014_033515,46.66,40.66,-44.67,0.8
GANJ,20111128_122647,46.64,40.68,-53.48,0.8
QZX,20111117_015704,45.14,41.13,66.23,0.7
KIV,20160725_172650,42.2,43.93,38.27,0.8
KIV,20120130_051059,42.2,44.02,53.7,0.6
KIV,20190926_163618,42.25,43.84,18.12,0.3
KIV,20120607_040504,42.49,43.92,19.0,2.2
KIV,20110902_134710,42.44,43.92,15.44,1.5
KIV,20140924_111613,42.43,43.94,34.87,1.0
KIV,20181001_235942,43.13,43.87,71.03,0.9
KIV,20110306_123158,42.43,43.96,58.0,0.7
KIV,20140823_223223,42.48,43.93,47.15,0.7
KIV,20160804_141513,42.43,43.95,51.81,0.6
