deg. mm/yr mm/yr mm/yr mm/yr mm/yr mm/yr
38.215 38.456 -11.48 10.92 0.74 0.72 -0.012
38.231 37.747 -7.57 14.06 0.83 0.80 -0.002
38.584 9.081 1.04 6.68 0.99 0.78 -0.010
38.766 9.035 1.03 6.53 0.51 0.44 -0.003
39.164 39.613 -18.72 9.73 0.93 0.87 -0.026
39.242 44.704 -0.22 0.05 1.27 1.13 0.018
39.254 38.640 -13.64 10.88 1.24 1.20 -0.046
39.282 8.472 3.29 6.34 0.63 0.54 0.012
39.438 8.292 4.10 6.03 0.70 0.55 0.030
39.520 8.258 4.38 5.54 0.57 0.51 -0.005
39.524 39.071 -16.97 11.96 1.45 1.30 -0.004
39.531 8.266 4.38 5.54 0.57 0.51 -0.005
39.631 21.369 7.59 15.54 1.79 1.78 -0.001
39.702 40.974 0.68 2.55 0.47 0.45 0.009
39.776 40.995 0.66 2.54 0.47 0.45 0.009
39.805 37.847 -8.91 15.11 0.75 0.74 -0.006
40.052 38.963 -13.53 9.87 1.58 1.36 -0.012
40.194 -2.996 2.85 5.23 0.52 0.50 0.000
40.254 39.731 -2.81 5.81 0.75 0.68 -0.015
40.272 43.681 1.83 -1.09 1.68 1.41 0.006
40.650 37.246 -6.44 16.64 0.80 0.75 -0.023
40.651 37.247 -6.44 16.64 0.80 0.75 -0.023
40.809 40.437 0.72 3.31 0.56 0.51 -0.015
41.057 38.959 -6.75 11.47 1.43 1.20 -0.024
41.300 39.973 -0.66 5.88 0.66 0.64 0.008
41.339 41.371 -0.54 2.83 0.90 0.89 -0.017
41.454 39.186 -5.88 10.74 2.01 1.29 -0.046
41.512 39.643 -2.09 4.39 1.78 1.22 -0.072
41.565 43.788 0.78 1.23 0.44 0.43 0.004
41.565 43.788 0.78 1.23 0.44 0.43 0.004
41.794 38.754 -4.69 14.76 0.84 0.69 0.107
41.990 40.548 1.95 5.07 0.93 0.90 0.020
42.045 19.211 9.52 17.39 0.90 0.87 0.005
42.062 42.721 -0.42 3.35 0.49 0.49 -0.005
42.133 41.648 -0.54 5.19 0.66 0.66 -0.009
42.149 39.714 -1.42 8.81 1.40 1.24 -0.022
42.195 43.349 -0.31 -0.09 0.85 0.83 -0.006
42.457 37.528 -6.45 15.11 2.72 1.24 0.042
42.471 42.022 2.18 4.19 0.75 0.69 -0.031
42.547 38.488 -5.62 14.01 1.52 1.20 -0.045
42.667 43.743 0.50 2.16 0.81 0.82 -0.010
42.755 41.126 1.38 4.64 1.35 1.06 -0.012
42.787 44.011 0.01 1.32 0.85 0.85 -0.007
42.873 45.267 2.12 -1.05 0.97 0.93 0.010
42.910 39.232 -2.03 9.45 0.61 0.52 -0.032
42.954 14.769 10.75 17.46 1.03 0.91 0.012
43.026 39.719 0.84 8.66 0.68 0.65 -0.036
43.135 42.468 1.02 3.98 0.86 0.71 -0.008
43.170 40.685 1.54 5.92 0.59 0.50 -0.015
43.341 38.549 -5.05 13.13 0.86 0.84 0.014
43.382 42.578 0.31 -0.49 0.73 0.66 0.013
43.400 42.349 2.55 6.00 0.69 0.60 0.026
43.540 42.485 0.83 -0.09 0.75 0.71 0.022
43.753 42.978 1.24 0.57 0.87 0.87 -0.032
43.759 38.997 -5.00 11.49 2.09 1.42 -0.089
43.768 40.972 1.39 6.62 0.92 0.84 0.014
43.891 41.537 1.50 4.65 0.63 0.59 0.003
43.954 40.609 1.99 8.18 0.83 0.82 -0.017
44.114 40.178 2.43 7.87 0.83 0.82 -0.017
44.145 39.556 -0.70 7.11 2.12 1.29 -0.107
44.190 15.348 9.89 15.06 1.04 0.89 0.004
44.364 41.031 3.62 6.11 0.84 0.79 0.003
44.486 42.447 0.76 3.98 0.59 0.58 0.028
44.503 40.226 2.72 8.30 0.51 0.50 0.000
44.526 41.831 1.50 6.59 0.58 0.55 0.021
44.742 40.149 2.86 9.76 0.62 0.54 0.006
44.826 41.377 8.75 5.29 2.69 1.70 0.057
44.859 40.526 1.39 5.42 1.12 0.84 -0.007
45.040 12.812 11.57 18.35 1.08 0.92 0.010
45.139 40.907 3.84 7.63 0.63 0.60 0.006
45.341 40.124 2.97 9.56 2.10 1.45 0.054
45.661 39.837 5.02 10.48 0.86 0.81 -0.015
45.795 41.951 -0.25 5.48 0.72 0.68 -0.015
46.093 39.536 4.20 10.11 0.99 0.88 0.026
46.162 36.908 -1.24 14.13 0.79 0.76 0.001
46.162 39.126 1.24 14.58 2.11 1.39 0.024
46.367 39.511 4.72 11.50 0.83 0.81 -0.011
46.401 24.911 7.73 19.45 1.53 1.52 -0.002
46.459 39.315 4.24 12.64 2.09 1.35 0.069
46.511 41.652 1.09 5.28 0.63 0.63 0.002
46.758 40.184 4.18 11.30 0.97 0.85 0.006
46.760 39.753 3.69 11.36 0.93 0.80 0.002
46.842 43.026 1.84 3.82 0.55 0.55 -0.004
46.847 43.125 -0.80 4.00 0.55 0.55 0.000
47.250 41.132 1.18 5.74 0.64 0.64 0.002
