index,Station,Event,Ev_lat,Ev_lon,Depth,Mag,Baz,Phase,SCPhi,SCPhi_std,SCdt,SCdt_std,RCPhi,RCPhi_std,RCdt,RCdt_std,Null,Quality,CpH
50,AM.ARZA,20181211_022632,-58.5981,-26.4656,164.66,7.1,213.11,SKS,-71.89,44.75,2.6,0.98,59.11,44.75,0.8,0.98,FALSE,Poor,0.77
51,AM.ARZA,20190222_101722,-2.199,-77.0231,132.36,7.5,290.25,SKS,-87.75,44.75,1.3,0.98,63.25,44.75,0.7,0.98,TRUE,Fair,0.83
52,AM.ARZA,20190301_085042,-14.7016,-70.135,267,7,274.74,SKS,63.74,10,1.4,0.35,40.74,44.75,1.2,0.98,FALSE,Fair,0.46
53,AM.ARZA,20200717_025022,-7.8386,147.7754,73,7,87.27,SKS,11.27,44.75,3.9,0.98,70.27,44.75,0,0.98,TRUE,Good,0.93
54,AM.ARZA,20120321_221505,-6.2233,146.0083,117.7,6.6,87.17,SKS,78.17,44.75,3.9,0.98,25.17,44.75,0.3,0.98,TRUE,Fair,0.86
55,AM.ARZA,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.28,SKS,73.28,18.25,1.5,0.82,45.28,44.75,0.8,0.98,FALSE,Poor,0.66
56,AM.ARZA,20140510_073600,17.0579,-100.9323,23.3,6.1,323.74,SKS,31.74,8,2.4,0.65,-3.26,44.75,1.3,0.98,FALSE,Poor,0.64
57,AM.ARZA,20140629_075256,-55.4757,-28.3956,15.1,6.8,216.55,SKS,-62.45,44.75,1.3,0.98,74.55,44.75,0.4,0.98,TRUE,Fair,0.8
58,AM.ARZA,20140707_112354,14.724,-92.4614,53,6.9,314.86,SKS,34.86,44.75,3.9,0.98,-19.14,44.75,0.2,0.98,TRUE,Fair,0.89
59,AM.ARZA,20140824_232141,-14.52,-73.535,70,6.8,277.26,SKS,76,44.75,1.9,0.98,42,44.75,1.1,0.98,TRUE,Fair,0.85
60,AM.ARZA,20140824_232143,-14.589,-73.45,74.4,6.8,277.14,SKS,76,44.75,1.9,0.98,42,44.75,1.1,0.98,TRUE,Fair,0.85
61,AM.ARZA,20150123_034727,-17.064,168.5545,223.9,6.8,80.91,SKS,-14.09,44.75,3.9,0.98,-66.09,44.75,0,0.98,FALSE,Poor,0.74
62,AM.ARZA,20150211_185720,-23.0653,-66.6621,203.6,6.7,264.78,SKS,73.78,44.75,3.6,0.98,24.78,44.75,0.6,0.98,TRUE,Fair,0.81
63,AM.ARZA,20150501_080605,-5.1981,151.7512,63.6,6.7,82.53,SKS,67.53,4.5,3.9,0.35,11.53,44.75,0.3,0.98,FALSE,Poor,0.76
64,AM.ARZA,20150610_135208,-22.4098,-68.4519,121.8,6.1,266.51,SKS,-13.49,44.75,3.9,0.98,-61.49,44.75,0.2,0.98,TRUE,Fair,0.83
65,AM.ARZA,20150916_140322,-6.0114,151.4768,6,6.1,83.36,SKS,-15.64,44.75,3.8,0.98,-62.64,44.75,0.5,0.98,TRUE,Fair,0.84
66,AM.ARZA,20121210_165309,-6.4969,129.8684,161.5,7.1,97.84,SKS,87.84,44.75,3.9,0.98,35.84,44.75,0.4,0.98,TRUE,Fair,0.84
67,AM.ARZA,20130406_044236,-3.4714,138.4743,69.4,7,89.96,SKS,79.96,44.75,3.9,0.98,27.96,44.75,0.2,0.98,TRUE,Good,0.91
68,AM.ARZA,20130416_225527,-3.2237,142.5671,16.3,6.6,87.11,SKS,73.11,44.75,2.4,0.98,31.11,44.75,0.8,0.98,FALSE,Poor,0.77
69,AM.ARZA,20131201_012415,-7.0288,128.4151,25.9,6.5,99.18,SKS,-87.82,44.75,3.9,0.98,39.18,44.75,0.2,0.98,TRUE,Good,0.93
70,AM.ARZA,20140113_040104,18.9922,-66.8685,30.9,6.3,298.31,SKS,-67.69,44.75,3.9,0.98,62.31,44.75,0.1,0.98,TRUE,Good,0.95
71,AM.ARZA,20111214_050457,-7.5278,146.814,128.5,7.1,87.66,SKS,79.66,2,3.5,0.5,31.66,44.75,0.5,0.98,TRUE,Fair,0.88
72,AM.ARZA,20130707_183531,-4.0134,153.9277,387.1,7.3,80.11,SKS,68.11,28.75,3.9,0.73,15.11,44.75,0.4,0.98,TRUE,Fair,0.81
73,AM.ARZA,20140413_123619,-11.4669,161.9601,34.2,7.4,80.58,SKS,-29.42,4.75,3.9,0.4,-83.42,44.75,0.9,0.98,FALSE,Poor,0.75
74,AM.ARZA,20150211_185720,-23.0653,-66.6621,203.6,6.7,264.78,SKS,73.78,44.75,3.6,0.98,24.78,44.75,0.6,0.98,TRUE,Fair,0.81
75,AM.ARZA,20150916_225432,-31.5729,-71.6744,22.44,8.3,258.85,SKS,66.85,2.5,3.9,0.23,14.85,44.75,0.4,0.98,TRUE,Fair,0.87
76,AM.ARZA,20160518_164643,0.4947,-79.616,29.95,6.9,294.37,SKS,-74.63,1.75,3.6,0.38,62.37,44.75,0.5,0.98,TRUE,Fair,0.88
77,AM.ARZA,20170614_072905,14.9823,-91.9882,94,6.9,314.61,SKS,31.61,44.75,3.9,0.98,-20.39,44.75,0.4,0.98,TRUE,Good,0.96
78,AM.ARZA,20180308_173951,-4.3853,153.1874,22.53,6.8,80.91,SKS,-19.09,44.75,3.8,0.98,-73.09,44.75,0.3,0.98,TRUE,Good,0.91
79,AM.ARZA,20180509_075755,-5.8916,151.7962,10,6,83.05,SKS,74.05,1.25,3.7,0.3,26.05,44.75,0.4,0.98,TRUE,Fair,0.8
80,AM.ARZA,20181205_041436,-21.9814,169.3156,10,6,85.39,SKS,79.39,44.75,3.9,0.98,28.39,44.75,0.2,0.98,TRUE,Good,0.96
81,AM.ARZA,20190201_161413,14.7628,-92.2981,67.93,6.6,314.74,SKS,34.74,1.75,3.9,0.2,-17.26,44.75,0.3,0.98,TRUE,Fair,0.88
82,AM.ARZA,20190217_143555,-3.3412,152.1319,368.12,6.4,80.82,SKS,74.82,1.75,3.9,0.53,25.82,44.75,0.1,0.98,TRUE,Good,0.97
83,AM.ARZA,20190530_090328,13.1462,-89.3663,25,6.6,311.24,SKS,25.24,44.75,3,0.98,45.24,44.75,3.9,0.98,TRUE,Fair,0.84
