station,event,baz
KIV,20181101_221951,270.427733195
KIV,20181115_200222,214.568114532
KIV,20190126_035138,78.1346785491
KIV,20190512_192450,302.333165186
KIV,20190530_090328,310.573029343
KIV,20190626_052350,302.168012376
KIV,20191104_215325,260.023575889
KIV,20191120_042705,314.305648219
KIV,20200531_050938,275.127526374
KIV,20200603_073534,266.526139132
KIV,20201206_164742,269.588281756
KIV,20201214_152049,268.063656229
KIV,20151121_090613,96.8887744217
KIV,20151204_222500,152.502002758
KIV,20160212_100224,105.976198648
KIV,20161205_011304,101.553351345
KIV,20161221_001714,98.5390016577
KIV,20171024_104747,101.734621867
KIV,20180226_133453,95.9743623006
KIV,20180325_201447,96.5976880218
KIV,20180728_170723,101.858323438
KIV,20180828_070811,103.574715807
KIV,20190121_235922,106.629359191
KIV,20190122_051003,106.819546204
KIV,20190406_215501,100.083201825
KIV,20190624_025339,96.8872938042
KIV,20200506_135356,96.6872029883
KIV,20200821_040952,101.035428552
KIV,20200926_171022,187.320505851
GNI,20120326_181253,323.267319074
GNI,20120423_173621,84.4725388671
GNI,20130426_065328,85.7998246407
GNI,20130812_094931,291.532828096
GNI,20140316_211628,270.159958045
GNI,20140317_051133,270.149011246
GNI,20140403_015829,269.645600005
GNI,20140404_013751,269.432694823
GNI,20141116_223323,100.505066348
GNI,20150928_152805,263.91647605
GNI,20160908_214620,131.61041211
GNI,20170218_121017,263.892304288
GNI,20170415_081943,265.130019332
GNI,20190802_055055,230.182545999
GNI,20190926_163618,247.651181312
GNI,20191104_215325,258.194521176
GNI,20200414_010647,86.4593490433
GNI,20201227_213914,250.70905047
GNI,20161124_184348,310.061244425
GNI,20180906_154914,74.2621449772
GNI,20190506_211937,87.6460642547
GNI,20200717_025022,87.4667477244
GNI,20110101_095658,259.012021553
GNI,20110207_195342,81.8278784775
GNI,20110306_143236,215.210432731
GNI,20110306_143242,215.062476414
GNI,20110407_131123,317.835309401
GNI,20110620_163600,266.958326742
GNI,20110824_174611,283.916449967
GNI,20110903_044858,215.020580689
GNI,20111122_184816,270.816579066
GNI,20120121_184713,315.606184858
GNI,20120321_221505,87.3446207717
GNI,20120728_200359,81.3441399534
GNI,20120905_130910,78.5249874501
GNI,20130704_171557,81.4870519105
GNI,20130717_023743,274.875107479
GNI,20130812_094931,291.532828096
GNI,20130821_123829,322.379754431
GNI,20140315_235132,290.472544992
GNI,20140403_015829,269.645600005
GNI,20150310_205544,294.015875247
GNI,20150323_045137,270.695136778
GNI,20150916_140322,83.5626548186
GNI,20150928_152805,263.91647605
GNI,20101215_112930,99.2129833104
GNI,20110830_065741,99.8477954397
GNI,20120908_105145,92.0745817621
GNI,20121012_003131,94.0010184947
GNI,20130406_044236,90.0941367606
GNI,20130416_225527,87.2558570539
GNI,20131201_012415,99.2770926158
GNI,20140113_040104,298.390101038
GNI,20101225_131638,84.5064783296
GNI,20110101_095658,259.012021553
GNI,20111214_050457,87.8476486843
GNI,20130717_023743,274.875107479
GNI,20131117_090456,217.040116677
GNI,20150211_185720,264.662656899
GNI,20151217_194953,316.542271893
GNI,20160419_052539,215.859227472
GNI,20160520_181404,112.687904172
GNI,20160821_034523,217.919715689
GNI,20160831_031136,80.8441430806
GNI,20161017_061458,85.3361693442
GNI,20170218_121017,263.892304288
GNI,20170221_140904,266.492730247
GNI,20170418_171147,71.8082606102
GNI,20170512_104126,311.705857508
GNI,20171010_063220,270.834636622
GNI,20180324_112332,83.139870674
GNI,20180509_075755,83.2529871593
GNI,20181101_221951,269.608809539
GNI,20190126_035138,81.0857462845
GNI,20190201_161413,314.77275268
GNI,20190530_090328,311.267879683
GNI,20200120_065137,212.450029577
GNI,20201001_103448,85.4979692691
GNI,20201130_225503,263.648263637
GNI,20201206_164742,268.72858061
GNI,20201214_152049,267.125743807
GNI,20151121_090613,98.3874229821
GNI,20160319_112633,293.638310735
GNI,20160823_193944,103.368693463
GNI,20160917_012017,87.6747924295
GNI,20161205_011304,102.767457608
GNI,20171024_104747,102.93116216
GNI,20180728_170723,103.037868377
GNI,20180828_070811,104.964389879
GNI,20190619_172448,89.1630548028
GNI,20190624_025339,98.3196758558
GNI,20200506_135356,98.1677916587
GNI,20200821_040952,102.227420833
ABST,20140316_211628,269.867965041
ABST,20150916_225915,258.849617434
ABST,20160528_094659,214.979740157
ABST,20101208_052435,214.310941447
ABST,20110225_130726,317.765143851
ABST,20110306_143242,214.737257425
ABST,20110824_174611,283.25410263
ABST,20120121_184713,314.382835134
ABST,20120417_035015,257.633451957
ABST,20120417_071349,84.3880669523
ABST,20140316_211628,269.867965041
ABST,20150211_185720,264.404517897
ABST,20130901_115232,98.4832028735
ABST,20131012_021028,288.269198834
ABST,20140113_040104,297.155730911
ABST,20140218_092714,288.750936529
ABST,20140413_123619,78.595717761
ABST,20151217_194953,315.304603168
AZMN,20140326_032936,81.0853468068
AZMN,20140101_160329,77.3064344823
AZMN,20140403_015829,269.418682181
AZMN,20150216_220054,216.169325354
AZMN,20140113_040104,297.463221515
BATM,20131016_103100,78.8911653748
BATM,20140415_035701,199.185186417
BATM,20150227_134505,101.44073053
BATM,20140413_123619,77.8377627855
BKRG,20140316_211628,270.343086645
BKRG,20140629_075256,216.481528037
BKRG,20140707_112354,314.285603856
BKRG,20140824_232141,277.227103074
BKRG,20140824_232143,277.105311368
BKRG,20131201_012415,98.469697038
BKRG,20140113_040104,297.634119762
BKRG,20131117_090456,217.44073686
BKRG,20150211_185720,264.850675061
BURN,20131117_090456,217.452303875
BURN,20140412_201438,79.0343824018
BRNG,20150211_185720,264.935094002
BRNG,20150211_185720,264.935094002
BRNG,20151107_070431,261.955832196
DDFL,20130812_094931,293.403710814
DDFL,20150211_185720,266.297712339
DDFL,20151107_070431,263.173088041
DDFL,20150211_185720,266.297712339
DDFL,20140302_093754,311.060634106
DDFL,20140315_235132,292.317351739
DDFL,20140704_150027,83.3809569744
DDFL,20140707_112354,316.460299688
DDFL,20150211_185720,266.297712339
DDFL,20130406_044236,90.8886584122
DDFL,20130901_115232,100.676948779
DDFL,20140113_040104,299.387902919
DDFL,20140218_092714,290.946381839
DDFL,20140803_002201,82.5741357458
DDFL,20150211_185720,266.297712339
DDFL,20160208_161913,82.3736005147
DDFL,20160520_181404,113.233261447
DMNI,20150919_050647,261.635063128
DMNI,20140305_095658,76.894097573
DMNI,20140619_101758,78.0820362641
DMNI,20140707_112354,314.745477523
DMNI,20140729_132747,84.0220001027
DMNI,20150422_225716,76.9946179867
DMNI,20150507_071023,81.712962941
DMNI,20150916_140322,82.8337684079
DMNI,20151217_194953,316.381412412
GANZ,20140402_161326,301.501749452
GANZ,20140113_040104,297.770386251
GANZ,20140218_092714,289.368501859
GANZ,20140412_201438,79.1925572914
KZRT,20140316_211628,270.70170698
KZRT,20150202_104948,255.841803903
KZRT,20150916_231841,259.322780286
KZRT,20160528_094659,215.49593462
KZRT,20140316_211628,270.70170698
KZRT,20140629_075256,216.718642986
KZRT,20140707_112354,314.941535382
KZRT,20140729_104613,319.323424521
KZRT,20140824_232141,277.643790643
KZRT,20140824_232143,277.521257021
KZRT,20150430_104505,82.2235373509
KZRT,20140113_040104,298.214912773
KZRT,20140218_092714,289.802447001
KZRT,20130707_183531,79.7033020993
KZRT,20140412_201438,79.6584813368
KZRT,20160614_134922,81.5708965795
LGD,20131016_103100,82.0415151812
LGD,20140501_063636,84.1877014218
LGD,20130406_044236,90.9433857356
LGD,20130901_115232,100.765152174
LGD,20140113_040104,299.493647447
LGD,20140218_092714,291.037560308
LGD,20130707_183531,80.865842836
AMBR,20101208_052435,214.631471457
AMBR,20101213_011442,79.0964172845
AMBR,20101229_065422,81.2566176833
AMBR,20110620_163600,267.339053732
AMBR,20110715_132602,210.046031434
AMBR,20110903_044858,215.030085143
AMBR,20111014_033515,84.6908175515
AMBR,20111018_050506,81.8093599131
AMBR,20111028_185434,279.249277121
AMBR,20111211_095456,215.973831421
AMBR,20120121_184713,314.857881636
AMBR,20120214_081957,78.0959968445
AMBR,20121111_221459,313.660408545
AMBR,20121119_094435,81.4178227461
AMBR,20101215_112930,98.1168022223
AMBR,20110830_065741,98.8310587341
AMBR,20121210_165309,96.8289020198
AMBR,20111214_050457,86.1540598094
GUDA,20101213_011442,80.0874881462
GUDA,20110101_095658,260.189898932
GUDA,20110109_100343,81.6455254523
GUDA,20110101_095658,260.189898932
KHVA,20110306_143242,215.127797817
KHVA,20110407_131123,317.285928754
TKBL,20120130_051059,279.001831213
TKBL,20130925_164243,276.740242119
TKBL,20110715_132602,209.954440038
TKBL,20110731_233858,84.3297447766
TKBL,20110903_044858,214.930265573
TKBL,20111014_033515,84.6372147784
TKBL,20111117_015704,293.881063975
TKBL,20120514_100039,271.670116631
TKBL,20130707_203007,82.9343769008
TKBL,20130406_044236,88.7181631587
TKBL,20111028_185434,279.044502333
TKBL,20130707_183531,78.400554925
TRLT,20110418_130304,92.614233093
TRLT,20110620_163600,267.391251606
TRLT,20101123_090107,84.4300168031
TRLT,20101208_052435,214.760253535
TRLT,20110101_095658,259.437880559
TRLT,20110109_100343,82.0771534497
TRLT,20110225_130726,318.822155191
TRLT,20110306_123158,271.407533986
TRLT,20110306_143236,215.331918195
TRLT,20110306_143242,215.179523468
TRLT,20110309_212452,83.9497375815
TRLT,20110407_131123,317.629534189
TRLT,20110620_163600,267.391251606
TRLT,20110715_132602,210.139680661
TRLT,20110824_174611,284.119257313
TRLT,20110903_044858,215.142371481
TRLT,20111014_033515,85.6151187927
TRLT,20111028_185434,279.372521516
TRLT,20111117_015704,294.419250274
TRLT,20111128_122647,80.6968841154
TRLT,20110101_095658,259.437880559
TRLT,20110824_174611,284.119257313
TRLT,20110915_193103,74.6384619556
TRLT,20111028_185434,279.372521516
TRLT,20111214_050457,87.0696035097
URAV,20110620_163600,267.514269767
URAV,20101208_052435,214.72587792
URAV,20110212_175756,68.2082307135
URAV,20110306_123158,271.471561446
URAV,20110306_143236,215.313571581
URAV,20110306_143242,215.157285484
URAV,20110407_131123,317.188938074
URAV,20110515_183710,79.7230071386
URAV,20110715_132602,210.132678018
URAV,20110824_174611,284.023879847
URAV,20110903_044858,215.124780305
URAV,20111014_033515,84.7622974558
URAV,20111122_184816,270.980473172
URAV,20120121_184713,315.022879396
URAV,20120402_173642,320.498512772
URAV,20120417_071349,84.4939070594
URAV,20120528_050723,258.406804695
URAV,20101215_112930,98.2161827904
URAV,20110824_174611,284.023879847
URAV,20111028_185434,279.440925931
URAV,20111214_050457,86.225159482
AKH,20120703_103615,104.779786518
AKH,20130828_025441,82.925879842
AKH,20140202_092636,88.9059969968
AKH,20140703_195007,83.8490967702
AKH,20140703_195010,83.5632256644
AKH,20141116_223323,98.0762396829
AKH,20161124_184348,309.390142533
AKH,20120121_184713,314.875757793
AKH,20120528_050723,257.824692222
AKH,20120607_160318,275.019284826
AKH,20120725_112027,79.3177183326
AKH,20120802_093831,282.719715521
AKH,20121111_221459,313.667257834
AKH,20130615_173429,307.755208962
AKH,20130707_203007,83.5531727902
AKH,20130726_213300,212.624440225
AKH,20130801_200142,61.4423538978
AKH,20130812_094931,291.203516328
AKH,20130907_001329,313.816215599
AKH,20131102_185347,65.0228216784
AKH,20140317_051133,270.110766261
AKH,20140629_075256,216.375689088
AKH,20140704_150027,81.5727655274
AKH,20140707_112354,314.166864631
AKH,20140721_145441,71.3081897134
AKH,20140729_104613,318.545087378
AKH,20140729_132740,83.5613605948
AKH,20140729_132747,83.5322308196
AKH,20140924_111613,263.911570491
AKH,20120930_163134,292.385462109
AKH,20130715_140341,210.375382418
AKH,20131117_090456,217.283683028
AKH,20160821_034523,217.831417377
AKH,20160823_193944,102.623953308
AKH,20160917_012017,86.7156759226
BGD,20130707_203007,83.6673906271
BGD,20140316_211628,270.096543573
CHVG,20140824_232141,276.718363922
CHVG,20140824_232143,276.597633642
DGRG,20191203_084636,272.674530283
DGRG,20200717_025022,87.5421434857
DGRG,20200506_135356,98.5674101426
GUDA,20101213_011442,80.0874881462
GUDA,20110101_095658,260.189898932
GUDA,20110109_100343,81.6455254523
GUDA,20110101_095658,260.189898932
GUDG,20121114_190205,262.767984454
GUDG,20130615_112037,91.2470449768
GUDG,20140202_092636,88.0268696834
GUDG,20140316_211628,271.418584986
GUDG,20121114_190205,262.767984454
GUDG,20130707_203007,83.9380808293
GUDG,20131016_103100,80.5766078822
GUDG,20140316_211628,271.418584986
GUDG,20130715_140341,210.985135927
GUDG,20140413_123619,79.4605918996
ONI,20140202_092636,87.0995908897
ONI,20140924_111613,264.571456127
ONI,20141116_223323,96.2815350686
ONI,20150202_104948,256.179584468
ONI,20150424_033642,106.706852103
ONI,20150919_050647,262.173825808
ONI,20151111_015438,262.274068037
ONI,20160725_172650,264.831729269
ONI,20160819_073222,218.217582228
ONI,20130325_230212,312.668638671
ONI,20130704_171557,79.6596762784
ONI,20130717_023743,275.356632887
ONI,20140315_085920,280.104536
ONI,20140315_235132,290.725010018
ONI,20140402_161326,301.648423939
ONI,20140403_015829,270.295603094
ONI,20140404_114033,78.1114573295
ONI,20140504_092515,80.2211876766
ONI,20140629_075256,216.684087818
ONI,20140707_112354,314.442155495
ONI,20140729_104613,318.78007093
ONI,20150216_220054,216.581094233
ONI,20150310_205544,293.663386947
ONI,20150430_104505,81.1989914832
ONI,20150718_022732,75.3591842677
ONI,20150815_074707,76.7495556592
ONI,20150916_140322,81.932664613
ONI,20150916_231609,259.974951135
ONI,20130717_023743,275.356632887
ONI,20150505_014404,81.2794412298
ONI,20151217_194953,316.061721061
ONI,20160821_034523,218.173187954
ONI,20160319_112633,292.747753759
SEAG,20140629_155228,64.3804180566
TBLG,20120607_040504,254.354132737
TBLG,20120607_160318,276.085054358
TBLG,20120703_103615,104.889913973
