   26.0000    51.0000 147.10  20.49 0.89 0.13         17
   26.0000    52.0000 140.00   0.00 0.77 0.12          2
   26.0000    56.0000 157.67   8.54 0.82 0.02         14
   26.0000    57.0000 161.49   8.31 0.81 0.02          9
   27.0000    34.0000   5.83  10.49 1.83 0.25          3
   27.0000    35.0000 179.93  12.77 1.37 0.06         44
   27.0000    36.0000 178.82  14.45 1.29 0.03         90
   27.0000    37.0000 172.27  14.80 1.26 0.03        131
   27.0000    38.0000 170.37  15.89 1.21 0.03         76
   27.0000    39.0000 174.93  13.35 1.34 0.05         37
   27.0000    40.0000 168.26  11.64 1.33 0.03        117
   27.0000    41.0000 167.12  11.85 1.39 0.04         76
   27.0000    42.0000 173.67  11.75 1.28 0.05         41
   27.0000    43.0000 173.76  10.33 1.32 0.05         61
   27.0000    44.0000 174.36  13.09 1.43 0.06         38
   27.0000    45.0000 179.58  18.19 1.15 0.08         31
   27.0000    46.0000   7.25  16.52 0.96 0.06         44
   27.0000    47.0000 176.22  22.19 0.80 0.04         43
   27.0000    48.0000 151.90  21.96 0.77 0.04         53
   27.0000    49.0000 159.40  21.72 0.99 0.03         65
   27.0000    50.0000 169.82  13.07 1.02 0.05         26
   28.0000    34.0000   1.48  17.11 1.53 0.05         66
   28.0000    35.0000   5.80  15.50 1.47 0.02        248
   28.0000    36.0000  12.36   9.89 1.40 0.02        270
   28.0000    37.0000   9.51  12.69 1.32 0.03        143
   28.0000    38.0000   3.06  15.20 1.30 0.04         68
   28.0000    39.0000 175.28  11.72 1.31 0.03         16
   28.0000    40.0000 171.23   7.09 1.51 0.08         18
   28.0000    41.0000 173.41   8.11 1.44 0.06         25
   28.0000    42.0000 168.25  11.39 1.17 0.07         18
   28.0000    43.0000 167.79  14.06 1.19 0.17         10
   28.0000    44.0000 177.51  18.97 1.39 0.13         20
   28.0000    45.0000  11.63  23.47 1.13 0.08         39
   28.0000    46.0000  21.25  21.10 0.97 0.07         44
   28.0000    47.0000  12.85  24.74 0.91 0.07         40
